,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00072,0.909522,-0.354222,-0.240914,-0.138155,0.83623,1.26594,0.025791,0.247731,-0.142172,0.485753,0.8808,0.234304,-0.245432,0.862959,-0.317413,-0.275887,-0.0928973,-0.608586,1.00692,-0.605695,1.03828,0.607802,0.786498,0.482909,0.143573,0.71406,0.926142
LOPAC 00073,0.350638,-1.10557,1.40461,0.160765,-0.347346,0.227363,0.469631,1.53227,0.859398,0.0801813,1.39804,0.624766,0.140798,1.20238,1.60404,-0.143171,-0.328001,-0.468907,-0.298072,1.01152,0.228065,0.085671,-0.115733,0.372479,-1.25785,-0.501563,0.742177
LOPAC 00074,-0.510628,-2.31753,0.0924705,0.260148,-0.117491,-2.68959,0.554044,0.130212,0.245512,-0.0907685,-6.80281,0.452131,-0.848196,-2.88873,-0.0913411,-0.101926,-0.505382,-0.37887,-0.277043,0.288769,-1.57419,-1.87879,-4.52358,-1.85893,-0.230116,-0.419422,-2.53585
LOPAC 00075,0.293224,-2.13061,0.606081,0.260648,1.05088,1.859,1.00508,0.960175,0.533792,0.682585,-0.516035,-5.78162,-0.249453,0.285057,-0.244022,0.49382,-3.16298,0.409353,0.517957,0.90106,0.756021,-0.684202,-0.0373231,0.256693,0.648639,1.18827,-0.513612
LOPAC 00076,-0.225523,1.93326,1.21504,0.173684,0.13551,-0.0503484,1.4598,0.0252163,1.8961,-0.139682,-0.332456,-0.32467,-0.826983,-0.454245,0.0509449,-0.235555,-0.652577,-0.197462,-0.565523,1.32329,-1.06284,-0.917568,-0.882732,-0.987695,0.385994,-1.1399,0.172438
LOPAC 00077,-0.0577051,-0.0797572,0.31169,0.438715,0.0951118,0.299945,-0.23279,0.356053,-1.30308,0.250031,-0.58111,0.662906,1.50898,0.398993,0.0375291,0.241169,0.251648,-0.0691293,0.556112,-0.0464419,-0.499214,0.226785,0.343603,-0.26581,-0.192981,0.135296,-0.180479
LOPAC 00078,-0.234593,-0.503595,-0.16847,0.24124,-0.526384,0.182465,-0.404038,-0.0993285,0.254785,-0.378947,-0.864194,-0.276546,-1.28139,-0.392596,1.20555,-0.387966,0.209879,0.046353,-0.122206,0.336363,-0.567034,0.315249,0.452731,-0.0618781,-1.12218,-0.0493613,0.968186
LOPAC 00079,-1.04769,-1.37745,-0.921881,-0.182103,0.583726,-0.510105,-0.785524,-0.564712,0.00257619,-1.08484,-0.910736,-0.284309,-1.39695,0.13931,-0.975765,-0.370024,-0.516305,-2.10301,-1.88129,-0.24744,-0.793868,-1.21669,-0.469631,-0.725504,-1.53664,-2.19188,-1.00431
LOPAC 00080,-1.15116,1.73114,-0.513952,-0.555285,0.492469,-0.142367,-0.476926,-2.07663,-0.926784,-1.14617,0.401841,0.173261,0.461815,-0.887254,-0.694293,-0.978072,-0.379307,-0.0685122,-0.559657,0.498771,-1.0081,-0.766428,-0.485726,-0.0405657,-0.750066,-0.620553,-0.106996
LOPAC 00081,0.739456,0.241655,1.59961,0.848112,-0.986788,0.179811,0.627542,0.901162,0.839952,0.700839,0.6769,0.713287,0.079072,1.45292,1.37682,1.31138,0.139074,0.982245,1.11119,1.46338,0.369535,0.470056,0.197592,0.321471,0.429893,0.324173,0.152739
